DATE,ID,INDUSTRY,PRUNEMP1,PRUNEMP2,PRUNEMP3,PRUNEMP4,PRUNEMP5,PRUNEMP6,PRUNEMP7,PRUNEMP8,PRUNEMP9,PRUNEMP10,PRUNEMP11,PRUNEMP12,PRUNEMP13,PRUNEMP14,PRUNEMP15,PRUNEMP16,PRUNEMP17,PRUNEMP18,PRUNEMP19,PRUNEMP20,PRUNEMP21,PRUNEMP22,PRUNEMP23,PRUNEMP24,PRUNEMP25,PRUNEMP26,PRUNEMP27,PRUNEMP28,PRUNEMP29,PRUNEMP30,PRUNEMP31,PRUNEMP32,PRUNEMP33,PRUNEMP34,PRUNEMP35,PRUNEMP36,PRUNEMP37,PRUNEMP38,PRUNEMP39,PRUNEMP40
1969Q1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q1,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969Q2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
